id_student,gender,region,highest_education,studied_credits,imd_band,total_clicks,avg_score,engagement_level,performance_level,risk_level,pass_flag,dropout_flag,final_result
11391,M,East Anglian Region,HE Qualification,240,90-100%,934.0,82.0,Medium,High,Low Risk,1,0,Pass
28400,F,Scotland,HE Qualification,60,20-30%,1435.0,66.4,Medium,Medium,Low Risk,1,0,Pass
30268,F,North Western Region,A Level or Equivalent,60,30-40%,281.0,,Low,,Very High Risk,0,1,Withdrawn
31604,F,South East Region,A Level or Equivalent,60,50-60%,2158.0,76.0,High,High,Low Risk,1,0,Pass
32885,F,West Midlands Region,Lower Than A Level,60,50-60%,1034.0,54.4,Medium,Medium,Low Risk,1,0,Pass
38053,M,Wales,A Level or Equivalent,60,80-90%,2445.0,68.0,High,Medium,Safe,1,0,Pass
45462,M,Scotland,HE Qualification,60,30-40%,1492.0,68.0,Medium,Medium,Low Risk,1,0,Pass
45642,F,North Western Region,A Level or Equivalent,120,90-100%,1428.0,72.4,Medium,High,Low Risk,1,0,Pass
52130,F,East Anglian Region,A Level or Equivalent,90,70-80%,1894.0,71.4,High,High,Low Risk,1,0,Pass
53025,M,North Region,Post Graduate Qualification,60,,3158.0,78.0,High,High,Safe,1,0,Pass
57506,M,South Region,Lower Than A Level,60,70-80%,1319.0,74.0,Medium,High,Low Risk,1,0,Pass
58873,F,East Anglian Region,A Level or Equivalent,60,20-30%,1732.0,73.2,High,High,Low Risk,1,0,Pass
59185,M,East Anglian Region,Lower Than A Level,60,60-70%,1102.0,78.6,Medium,High,Low Risk,1,0,Pass
62155,F,North Western Region,HE Qualification,60,50-60%,3388.0,76.0,High,High,Safe,1,0,Pass
63400,M,Scotland,Lower Than A Level,60,40-50%,2737.0,71.6,High,High,Safe,1,0,Pass
65002,F,East Anglian Region,A Level or Equivalent,60,70-80%,176.0,67.0,Low,Medium,Very High Risk,0,1,Withdrawn
70464,F,West Midlands Region,A Level or Equivalent,60,60-70%,1053.0,55.6,Medium,Medium,Low Risk,1,0,Pass
71361,M,Ireland,HE Qualification,60,,2327.0,80.4,High,High,Safe,1,0,Pass
74372,M,East Anglian Region,A Level or Equivalent,150,10-20,116.0,48.5,Low,Low,Very High Risk,0,0,Fail
75091,M,South West Region,A Level or Equivalent,60,30-40%,2992.0,66.0,High,Medium,Safe,1,0,Pass
77367,M,East Midlands Region,A Level or Equivalent,60,30-40%,680.0,70.4,Medium,High,High Risk,1,0,Pass
91265,M,North Western Region,HE Qualification,60,0-10%,1494.0,70.8,Medium,High,Low Risk,1,0,Pass
94961,M,South Region,Lower Than A Level,60,70-80%,1240.0,65.33333333333333,Medium,Medium,Low Risk,0,1,Withdrawn
98094,M,Wales,Lower Than A Level,60,70-80%,2839.0,60.6,High,Medium,Safe,1,0,Pass
100893,M,Yorkshire Region,A Level or Equivalent,60,20-30%,744.0,68.4,Medium,Medium,High Risk,1,0,Pass
101781,M,South Region,Lower Than A Level,60,80-90%,4104.0,72.6,High,High,Safe,1,0,Pass
102806,M,North Western Region,A Level or Equivalent,60,30-40%,1944.0,78.0,High,High,Low Risk,1,0,Pass
102952,M,London Region,HE Qualification,60,60-70%,1150.0,76.6,Medium,High,Low Risk,1,0,Pass
104476,M,Ireland,Post Graduate Qualification,60,,4777.0,79.6,High,High,Safe,1,0,Pass
106247,M,South Region,HE Qualification,60,80-90%,465.0,60.0,Low,Medium,High Risk,0,1,Withdrawn
106577,M,East Midlands Region,Lower Than A Level,60,20-30%,733.0,53.4,Medium,Medium,High Risk,1,0,Pass
110175,M,East Anglian Region,HE Qualification,60,80-90%,998.0,63.4,Medium,Medium,Low Risk,1,0,Pass
111717,F,East Anglian Region,HE Qualification,60,90-100%,2343.0,81.0,High,High,Safe,1,0,Pass
113295,M,Yorkshire Region,Lower Than A Level,60,60-70%,3553.0,77.6,High,High,Safe,1,0,Pass
114017,F,North Region,Post Graduate Qualification,60,,757.0,71.8,Medium,High,High Risk,1,0,Pass
114999,M,Yorkshire Region,HE Qualification,60,60-70%,1358.0,72.8,Medium,High,Low Risk,1,0,Pass
116541,M,Wales,HE Qualification,60,0-10%,1886.0,62.4,High,Medium,Low Risk,1,0,Pass
116692,M,East Anglian Region,A Level or Equivalent,60,70-80%,1108.0,74.2,Medium,High,Low Risk,1,0,Pass
118983,M,East Midlands Region,HE Qualification,120,30-40%,284.0,61.8,Low,Medium,Very High Risk,1,0,Pass
123044,M,South Region,A Level or Equivalent,60,40-50%,2041.0,71.4,High,High,Low Risk,1,0,Pass
127582,F,East Midlands Region,A Level or Equivalent,180,40-50%,1321.0,69.6,Medium,Medium,Low Risk,1,0,Pass
129955,M,West Midlands Region,A Level or Equivalent,60,50-60%,1888.0,81.0,High,High,Low Risk,0,1,Withdrawn
132976,F,East Anglian Region,Lower Than A Level,120,80-90%,520.0,67.4,Medium,Medium,High Risk,1,0,Pass
134143,F,South East Region,A Level or Equivalent,60,90-100%,2732.0,84.4,High,High,Safe,1,0,Distinction
135335,F,East Anglian Region,Lower Than A Level,180,20-30%,73.0,,Low,,Very High Risk,0,1,Withdrawn
135400,F,South East Region,Lower Than A Level,60,90-100%,610.0,53.142857142857146,Medium,Medium,High Risk,0,1,Withdrawn
137873,M,South West Region,A Level or Equivalent,60,40-50%,5528.0,80.2,High,High,Safe,1,0,Pass
141355,F,East Midlands Region,A Level or Equivalent,240,30-40%,1823.0,72.6,High,High,Low Risk,1,0,Pass
141377,M,South West Region,A Level or Equivalent,345,90-100%,756.0,48.833333333333336,Medium,Low,High Risk,0,1,Withdrawn
142326,F,North Region,A Level or Equivalent,60,50-60%,2121.0,73.6,High,High,Low Risk,1,0,Pass
144801,F,South Region,HE Qualification,60,80-90%,5645.0,68.8,High,Medium,Safe,1,0,Pass
145130,M,South West Region,HE Qualification,120,60-70%,452.0,54.4,Low,Medium,High Risk,1,0,Pass
146188,F,West Midlands Region,A Level or Equivalent,60,20-30%,597.0,50.0,Medium,Low,High Risk,0,0,Fail
147756,M,North Region,Lower Than A Level,120,60-70%,1718.0,68.66666666666667,High,Medium,Low Risk,0,0,Fail
147793,F,North Region,Lower Than A Level,90,80-90%,155.0,52.0,Low,Medium,Very High Risk,0,1,Withdrawn
148993,F,North Western Region,A Level or Equivalent,60,30-40%,3812.0,79.5,High,High,Safe,0,1,Withdrawn
151358,F,London Region,A Level or Equivalent,150,80-90%,270.0,50.0,Low,Low,Very High Risk,1,0,Pass
155550,M,London Region,A Level or Equivalent,420,0-10%,1529.0,67.0,Medium,Medium,Low Risk,1,0,Pass
155854,F,East Midlands Region,A Level or Equivalent,60,20-30%,4003.0,79.8,High,High,Safe,1,0,Pass
155984,F,East Anglian Region,Lower Than A Level,60,70-80%,2645.0,78.14285714285714,High,High,Safe,0,1,Withdrawn
157568,F,South West Region,A Level or Equivalent,60,90-100%,1405.0,70.6,Medium,High,Low Risk,1,0,Pass
159954,M,East Midlands Region,A Level or Equivalent,60,40-50%,2062.0,68.2,High,Medium,Low Risk,0,1,Withdrawn
164259,M,Scotland,A Level or Equivalent,60,70-80%,466.0,71.8,Low,High,High Risk,1,0,Pass
167906,F,Yorkshire Region,A Level or Equivalent,60,40-50%,1510.0,69.4,Medium,Medium,Low Risk,1,0,Pass
168936,F,West Midlands Region,Lower Than A Level,60,10-20,745.0,66.4,Medium,Medium,High Risk,1,0,Pass
172112,M,Ireland,HE Qualification,60,,1939.0,69.6,High,Medium,Low Risk,1,0,Pass
172797,F,Ireland,A Level or Equivalent,60,,1782.0,61.4,High,Medium,Low Risk,1,0,Pass
174782,M,East Anglian Region,HE Qualification,60,90-100%,6318.0,80.4,High,High,Safe,1,0,Pass
175392,M,North Region,HE Qualification,60,,4447.0,82.4,High,High,Safe,1,0,Pass
175932,M,North Western Region,HE Qualification,60,70-80%,2016.0,78.2,High,High,Low Risk,1,0,Pass
175991,F,North Western Region,A Level or Equivalent,180,80-90%,138.0,37.6,Low,Low,Very High Risk,0,0,Fail
180753,M,South West Region,A Level or Equivalent,120,30-40%,2012.0,53.4,High,Medium,Low Risk,1,0,Pass
181316,F,South West Region,A Level or Equivalent,120,80-90%,487.0,76.0,Medium,High,High Risk,0,1,Withdrawn
183096,F,South West Region,A Level or Equivalent,60,60-70%,1975.0,54.0,High,Medium,Low Risk,1,0,Pass
183947,M,London Region,A Level or Equivalent,180,10-20,964.0,49.0,Medium,Low,Low Risk,1,0,Pass
184271,M,South West Region,HE Qualification,170,80-90%,1312.0,59.8,Medium,Medium,Low Risk,1,0,Pass
185439,M,London Region,HE Qualification,120,10-20,427.0,74.0,Low,High,High Risk,0,0,Fail
186149,M,Scotland,HE Qualification,60,30-40%,2136.0,76.0,High,High,Low Risk,1,0,Pass
187100,M,South East Region,A Level or Equivalent,60,50-60%,8562.0,89.2,High,High,Safe,1,0,Distinction
188278,M,Yorkshire Region,A Level or Equivalent,120,70-80%,4497.0,71.66666666666667,High,High,Safe,0,1,Withdrawn
189879,M,Scotland,A Level or Equivalent,120,90-100%,1541.0,79.4,Medium,High,Low Risk,1,0,Pass
192183,F,South West Region,Lower Than A Level,60,90-100%,3219.0,68.4,High,Medium,Safe,1,0,Pass
195262,M,London Region,A Level or Equivalent,60,90-100%,1905.0,50.0,High,Low,Low Risk,0,1,Withdrawn
200860,M,London Region,Lower Than A Level,60,50-60%,534.0,54.4,Medium,Medium,High Risk,1,0,Pass
202635,F,Wales,A Level or Equivalent,60,30-40%,1418.0,66.66666666666667,Medium,Medium,Low Risk,0,1,Withdrawn
205350,M,South West Region,HE Qualification,60,80-90%,1665.0,72.2,High,High,Low Risk,1,0,Pass
205719,M,East Anglian Region,A Level or Equivalent,90,40-50%,333.0,56.666666666666664,Low,Medium,High Risk,0,0,Fail
227499,F,London Region,A Level or Equivalent,60,10-20,2953.0,83.6,High,High,Safe,1,0,Distinction
227517,M,Ireland,HE Qualification,180,,1205.0,62.6,Medium,Medium,Low Risk,0,0,Fail
228082,M,London Region,HE Qualification,60,60-70%,227.0,72.4,Low,High,Very High Risk,1,0,Pass
228222,M,East Midlands Region,Lower Than A Level,60,50-60%,445.0,61.8,Low,Medium,High Risk,1,0,Pass
229179,M,West Midlands Region,A Level or Equivalent,60,20-30%,614.0,66.0,Medium,Medium,High Risk,1,0,Pass
229361,M,East Midlands Region,A Level or Equivalent,60,50-60%,1215.0,78.0,Medium,High,Low Risk,1,0,Pass
231554,M,London Region,A Level or Equivalent,240,40-50%,1839.0,67.75,High,Medium,Low Risk,1,0,Pass
235507,M,Yorkshire Region,A Level or Equivalent,240,90-100%,1257.0,57.833333333333336,Medium,Medium,Low Risk,0,1,Withdrawn
236284,M,Scotland,Post Graduate Qualification,60,90-100%,732.0,78.0,Medium,High,High Risk,1,0,Pass
238007,M,South Region,HE Qualification,60,90-100%,1935.0,79.2,High,High,Low Risk,1,0,Pass
240712,M,London Region,HE Qualification,80,80-90%,321.0,75.8,Low,High,Very High Risk,1,0,Pass
240884,M,South Region,A Level or Equivalent,120,90-100%,427.0,58.4,Low,Medium,High Risk,1,0,Pass
241649,M,East Anglian Region,HE Qualification,60,90-100%,1892.0,78.8,High,High,Low Risk,1,0,Pass
241729,F,East Midlands Region,HE Qualification,60,60-70%,1829.0,58.6,High,Medium,Low Risk,0,0,Fail
242793,M,London Region,HE Qualification,60,20-30%,658.0,77.4,Medium,High,High Risk,1,0,Pass
246834,M,South West Region,A Level or Equivalent,60,90-100%,1174.0,55.6,Medium,Medium,Low Risk,1,0,Pass
